ticket_id,projekt,reporter,assignee,prioritet,status,datum_kreiranja,dan,mjesec,godina,kvartal,dan_u_tjednu,sati_rjesavanja,dana_rjesavanja,broj_komentara,sati_open,sati_in_progress,sati_resolved,sati_waiting
10104000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-05-03,3,5,2007,2,Thursday,98790.36,4116.27,6,98790.36,NULL,NULL,NULL
10107000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-05-03,3,5,2007,2,Thursday,98784.65,4116.03,5,98784.65,NULL,NULL,NULL
10108000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-05-03,3,5,2007,2,Thursday,98781.35,4115.89,5,98781.35,NULL,NULL,NULL
10109000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-05-03,3,5,2007,2,Thursday,98781.30,4115.89,7,98781.30,NULL,NULL,NULL
10110000,"Project Atlas","Katarina Kovačić",NULL,unknown,closed,2007-05-06,6,5,2007,2,Sunday,98717.24,4113.22,3,98717.24,NULL,NULL,NULL
10111000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-05-06,6,5,2007,2,Sunday,98711.63,4112.98,7,98711.63,NULL,NULL,NULL
10112000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-05-06,6,5,2007,2,Sunday,98711.58,4112.98,7,98711.58,NULL,NULL,NULL
10113000,"Project Nova","Ana Marić",NULL,unknown,closed,2007-05-06,6,5,2007,2,Sunday,98712.46,4113.02,13,98712.46,NULL,NULL,NULL
10114000,"Project Zenith","Ivana Horvat",NULL,unknown,closed,2007-05-06,6,5,2007,2,Sunday,98711.82,4112.99,2,98711.82,NULL,NULL,NULL
10119000,"Project Nexus","Petar Babić",NULL,unknown,closed,2007-05-08,8,5,2007,2,Tuesday,98669.92,4111.25,4,98669.92,NULL,NULL,NULL
10123000,"Project Atlas","Katarina Kovačić",NULL,unknown,closed,2007-05-09,9,5,2007,2,Wednesday,98640.46,4110.02,4,98640.46,NULL,NULL,NULL
10124000,"Project Quantum","Marko Knežević",NULL,unknown,closed,2007-05-10,10,5,2007,2,Thursday,98617.24,4109.05,3,98617.24,NULL,NULL,NULL
10127000,"Project Nova","Ana Marić",NULL,unknown,closed,2007-05-13,13,5,2007,2,Sunday,98548.22,4106.18,4,98548.22,NULL,NULL,NULL
10128000,"Project Solaris","Josip Horvat",NULL,unknown,closed,2007-05-14,14,5,2007,2,Monday,98519.35,4104.97,3,98519.35,NULL,NULL,NULL
10129000,"Project Apollo","Petar Božić",NULL,unknown,closed,2007-05-15,15,5,2007,2,Tuesday,98502.97,4104.29,12,98502.97,NULL,NULL,NULL
10130000,"Project Apollo","Petar Božić",NULL,unknown,closed,2007-05-15,15,5,2007,2,Tuesday,98500.19,4104.17,6,98500.19,NULL,NULL,NULL
10131000,"Project Nova","Ana Marić",NULL,unknown,closed,2007-05-15,15,5,2007,2,Tuesday,98496.49,4104.02,10,98496.49,NULL,NULL,NULL
10132000,"Project Vega","Katarina Vuković",NULL,unknown,closed,2007-05-15,15,5,2007,2,Tuesday,98496.13,4104.01,15,98496.13,NULL,NULL,NULL
10133000,"Project Solaris","Josip Horvat",NULL,unknown,closed,2007-05-16,16,5,2007,2,Wednesday,98474.65,4103.11,4,98474.65,NULL,NULL,NULL
10134000,"Project Vega","Petar Knežević",NULL,unknown,closed,2007-05-17,17,5,2007,2,Thursday,98452.55,4102.19,6,98452.55,NULL,NULL,NULL
10136000,"Project Horizon","Luka Horvat",NULL,unknown,closed,2007-05-20,20,5,2007,2,Sunday,98383.03,4099.29,6,98383.03,NULL,NULL,NULL
10139000,"Project Vega","Katarina Vuković",NULL,unknown,closed,2007-05-21,21,5,2007,2,Monday,98352.13,4098.01,4,98352.13,NULL,NULL,NULL
10140000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-05-22,22,5,2007,2,Tuesday,98326.11,4096.92,6,98326.11,NULL,NULL,NULL
10141000,"Project Horizon","Katarina Kovačić",NULL,unknown,closed,2007-05-23,23,5,2007,2,Wednesday,98308.78,4096.20,4,98308.78,NULL,NULL,NULL
10142000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-05-23,23,5,2007,2,Wednesday,98304.22,4096.01,6,98304.22,NULL,NULL,NULL
10143000,"Project Apollo","Petar Božić",NULL,unknown,closed,2007-05-24,24,5,2007,2,Thursday,98286.51,4095.27,5,98286.51,NULL,NULL,NULL
10145000,"Project Solaris","Josip Horvat",NULL,unknown,closed,2007-05-27,27,5,2007,2,Sunday,98212.07,4092.17,5,98212.07,NULL,NULL,NULL
10146000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-05-27,27,5,2007,2,Sunday,98210.15,4092.09,4,98210.15,NULL,NULL,NULL
10147000,"Project Vega","Petra Novak",NULL,unknown,closed,2007-05-27,27,5,2007,2,Sunday,98205.72,4091.91,5,98205.72,NULL,NULL,NULL
10149000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-05-29,29,5,2007,2,Tuesday,98162.92,4090.12,5,98162.92,NULL,NULL,NULL
10150000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-05-29,29,5,2007,2,Tuesday,98163.47,4090.14,7,98163.47,NULL,NULL,NULL
10151000,"Project Solaris","Josip Horvat",NULL,unknown,closed,2007-05-30,30,5,2007,2,Wednesday,98142.05,4089.25,8,98142.05,NULL,NULL,NULL
10153000,"Project Atlas","Katarina Kovačić",NULL,unknown,closed,2007-05-30,30,5,2007,2,Wednesday,98140.89,4089.20,5,98140.89,NULL,NULL,NULL
10154000,"Project Vega","Katarina Vuković",NULL,unknown,closed,2007-05-30,30,5,2007,2,Wednesday,98135.98,4089.00,9,98135.98,NULL,NULL,NULL
10155000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-05-31,31,5,2007,2,Thursday,98113.92,4088.08,5,98113.92,NULL,NULL,NULL
10156000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-05-31,31,5,2007,2,Thursday,98113.87,4088.08,5,98113.87,NULL,NULL,NULL
10157000,"Project Atlas","Katarina Kovačić",NULL,unknown,closed,2007-05-31,31,5,2007,2,Thursday,98117.51,4088.23,6,98117.51,NULL,NULL,NULL
10158000,"Project Atlas","Katarina Kovačić",NULL,unknown,closed,2007-05-31,31,5,2007,2,Thursday,98114.28,4088.10,12,98114.28,NULL,NULL,NULL
10159000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-06-03,3,6,2007,2,Sunday,98043.77,4085.16,5,98043.77,NULL,NULL,NULL
10160000,"Project Vega","Petra Novak",NULL,unknown,closed,2007-06-03,3,6,2007,2,Sunday,98042.56,4085.11,13,98042.56,NULL,NULL,NULL
10161000,"Project Vega","Petra Novak",NULL,unknown,closed,2007-06-03,3,6,2007,2,Sunday,98038.81,4084.95,9,98038.81,NULL,NULL,NULL
10163000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-06-04,4,6,2007,2,Monday,98017.87,4084.08,5,98017.87,NULL,NULL,NULL
10164000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-06-04,4,6,2007,2,Monday,98017.79,4084.07,6,98017.79,NULL,NULL,NULL
10165000,"Project Vega","Petar Knežević",NULL,unknown,closed,2007-06-04,4,6,2007,2,Monday,98015.56,4083.98,11,98015.56,NULL,NULL,NULL
10166000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-06-05,5,6,2007,2,Tuesday,97995.33,4083.14,14,97995.33,NULL,NULL,NULL
10167000,"Project Vega","Petra Novak",NULL,unknown,closed,2007-06-05,5,6,2007,2,Tuesday,97989.06,4082.88,14,97989.06,NULL,NULL,NULL
10168000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-06-06,6,6,2007,2,Wednesday,97974.00,4082.25,7,97974.00,NULL,NULL,NULL
10173000,"Project Zenith","Katarina Marić",NULL,unknown,closed,2007-06-10,10,6,2007,2,Sunday,97877.97,4078.25,16,97877.97,NULL,NULL,NULL
10176000,"Project Atlas","Katarina Kovačić",NULL,unknown,closed,2007-06-12,12,6,2007,2,Tuesday,97830.83,4076.28,7,97830.83,NULL,NULL,NULL
10177000,"Project Apollo","Katarina Božić",NULL,unknown,closed,2007-06-12,12,6,2007,2,Tuesday,97830.59,4076.27,5,97830.59,NULL,NULL,NULL
10178000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-06-13,13,6,2007,2,Wednesday,97806.58,4075.27,11,97806.58,NULL,NULL,NULL
10181000,"Project Atlas","Katarina Kovačić",NULL,unknown,closed,2007-06-19,19,6,2007,2,Tuesday,97660.65,4069.19,8,97660.65,NULL,NULL,NULL
10184000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-06-19,19,6,2007,2,Tuesday,97654.94,4068.96,6,97654.94,NULL,NULL,NULL
10185000,"Project Solaris","Josip Horvat",NULL,unknown,closed,2007-06-19,19,6,2007,2,Tuesday,97658.06,4069.09,13,97658.06,NULL,NULL,NULL
10186000,"Project Phoenix","Petar Marić",NULL,unknown,closed,2007-06-19,19,6,2007,2,Tuesday,97656.58,4069.02,4,97656.58,NULL,NULL,NULL
10187000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-06-19,19,6,2007,2,Tuesday,97656.23,4069.01,11,97656.23,NULL,NULL,NULL
10188000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-06-19,19,6,2007,2,Tuesday,97656.19,4069.01,7,97656.19,NULL,NULL,NULL
10191000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-06-20,20,6,2007,2,Wednesday,97635.35,4068.14,9,97635.35,NULL,NULL,NULL
10192000,"Project Solaris","Josip Horvat",NULL,unknown,closed,2007-06-20,20,6,2007,2,Wednesday,97634.23,4068.09,8,97634.23,NULL,NULL,NULL
10193000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-06-21,21,6,2007,2,Thursday,97614.80,4067.28,5,97614.80,NULL,NULL,NULL
10194000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-06-21,21,6,2007,2,Thursday,97608.94,4067.04,7,97608.94,NULL,NULL,NULL
10195000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-06-21,21,6,2007,2,Thursday,97612.84,4067.20,2,97612.84,NULL,NULL,NULL
10196000,"Project Vega","Katarina Vuković",NULL,unknown,closed,2007-06-24,24,6,2007,2,Sunday,97539.07,4064.13,9,97539.07,NULL,NULL,NULL
10198000,"Project Nova","Ana Marić",NULL,unknown,closed,2007-06-25,25,6,2007,2,Monday,97514.60,4063.11,9,97514.60,NULL,NULL,NULL
10199000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-06-30,30,6,2007,2,Saturday,97391.44,4057.98,5,97391.44,NULL,NULL,NULL
10200000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-06-30,30,6,2007,2,Saturday,97391.41,4057.98,5,97391.41,NULL,NULL,NULL
10210000,"Project Phoenix","Josip Božić",NULL,unknown,closed,2007-07-05,5,7,2007,3,Thursday,97272.23,4053.01,3,97272.23,NULL,NULL,NULL
10214000,"Project Phoenix","Petar Marić",NULL,unknown,closed,2007-07-05,5,7,2007,3,Thursday,97271.70,4052.99,2,97271.70,NULL,NULL,NULL
10215000,"Project Phoenix","Petar Marić",NULL,unknown,closed,2007-07-05,5,7,2007,3,Thursday,97271.60,4052.98,2,97271.60,NULL,NULL,NULL
10216000,"Project Nova","Ana Božić",NULL,unknown,closed,2007-07-05,5,7,2007,3,Thursday,95848.33,3993.68,24,95848.31,0.00,0.00,NULL
10218000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-07,7,7,2007,3,Saturday,97225.03,4051.04,5,97225.03,NULL,NULL,NULL
10219000,"Project Phoenix","Ivana Novak",NULL,unknown,closed,2007-07-08,8,7,2007,3,Sunday,97207.49,4050.31,9,97207.49,NULL,NULL,NULL
10220000,"Project Horizon","Katarina Kovačić",NULL,unknown,closed,2007-07-08,8,7,2007,3,Sunday,97207.42,4050.31,4,97207.42,NULL,NULL,NULL
10221000,"Project Phoenix","Josip Božić",NULL,unknown,closed,2007-07-08,8,7,2007,3,Sunday,97201.94,4050.08,5,97201.94,NULL,NULL,NULL
10227000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-08,8,7,2007,3,Sunday,97202.08,4050.09,6,97202.08,NULL,NULL,NULL
10231000,"Project Solaris","Josip Horvat",NULL,unknown,closed,2007-07-08,8,7,2007,3,Sunday,97194.31,4049.76,5,97194.31,NULL,NULL,NULL
10232000,"Project Phoenix","Ivana Novak",NULL,unknown,closed,2007-07-09,9,7,2007,3,Monday,97183.88,4049.33,3,97183.88,NULL,NULL,NULL
10233000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-09,9,7,2007,3,Monday,97178.61,4049.11,6,97178.61,NULL,NULL,NULL
10235000,"Project Vega","Petra Novak",NULL,unknown,closed,2007-07-09,9,7,2007,3,Monday,97180.75,4049.20,5,97180.75,NULL,NULL,NULL
10236000,"Project Phoenix","Ivana Novak",NULL,unknown,closed,2007-07-09,9,7,2007,3,Monday,97180.83,4049.20,7,97180.83,NULL,NULL,NULL
10237000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-09,9,7,2007,3,Monday,97179.84,4049.16,22,97179.84,NULL,NULL,NULL
10241000,"Project Eclipse","Katarina Kovačić",NULL,unknown,closed,2007-07-10,10,7,2007,3,Tuesday,97157.57,4048.23,5,97157.57,NULL,NULL,NULL
10242000,"Project Phoenix","Petra Pavlović",NULL,unknown,closed,2007-07-10,10,7,2007,3,Tuesday,97155.37,4048.14,5,97155.37,NULL,NULL,NULL
10244000,"Project Nova","Ana Marić",NULL,unknown,closed,2007-07-10,10,7,2007,3,Tuesday,97152.73,4048.03,8,97152.73,NULL,NULL,NULL
10245000,"Project Zenith","Katarina Marić",NULL,unknown,closed,2007-07-10,10,7,2007,3,Tuesday,97149.66,4047.90,4,97149.66,NULL,NULL,NULL
10246000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-11,11,7,2007,3,Wednesday,97130.70,4047.11,18,97130.70,NULL,NULL,NULL
10247000,"Project Vega","Marko Kovačić",NULL,unknown,closed,2007-07-11,11,7,2007,3,Wednesday,97132.45,4047.19,5,97132.45,NULL,NULL,NULL
10248000,"Project Phoenix","Petar Marić",NULL,unknown,closed,2007-07-11,11,7,2007,3,Wednesday,97128.29,4047.01,14,97128.29,NULL,NULL,NULL
10249000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-07-11,11,7,2007,3,Wednesday,97122.76,4046.78,19,97122.76,NULL,NULL,NULL
10250000,"Project Nova","Ana Marić",NULL,unknown,closed,2007-07-11,11,7,2007,3,Wednesday,97126.16,4046.92,5,97126.16,NULL,NULL,NULL
10251000,"Project Quantum","Ivan Horvat",NULL,unknown,closed,2007-07-12,12,7,2007,3,Thursday,97109.34,4046.22,9,97109.34,NULL,NULL,NULL
10252000,"Project Vega","Katarina Vuković",NULL,unknown,closed,2007-07-12,12,7,2007,3,Thursday,97103.81,4045.99,6,97103.81,NULL,NULL,NULL
10253000,"Project Eclipse","Katarina Kovačić",NULL,unknown,closed,2007-07-12,12,7,2007,3,Thursday,97102.62,4045.94,13,97102.62,NULL,NULL,NULL
10254000,"Project Phoenix","Petra Pavlović",NULL,unknown,closed,2007-07-16,16,7,2007,3,Monday,97014.96,4042.29,5,97014.96,NULL,NULL,NULL
10255000,"Project Vega","Katarina Vuković",NULL,unknown,closed,2007-07-16,16,7,2007,3,Monday,97008.49,4042.02,5,97008.49,NULL,NULL,NULL
10256000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-16,16,7,2007,3,Monday,97011.90,4042.16,16,97011.90,NULL,NULL,NULL
10257000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-16,16,7,2007,3,Monday,97011.86,4042.16,9,97011.86,NULL,NULL,NULL
10258000,"Project Vega","Marko Kovačić",NULL,unknown,closed,2007-07-16,16,7,2007,3,Monday,97009.91,4042.08,5,97009.91,NULL,NULL,NULL
10259000,"Project Atlas","Katarina Kovačić",NULL,unknown,closed,2007-07-17,17,7,2007,3,Tuesday,96991.27,4041.30,7,96991.27,NULL,NULL,NULL
10260000,"Project Horizon","Katarina Kovačić",NULL,unknown,closed,2007-07-17,17,7,2007,3,Tuesday,96987.70,4041.15,5,96987.70,NULL,NULL,NULL
10261000,"Project Vega","Petar Knežević",NULL,unknown,closed,2007-07-18,18,7,2007,3,Wednesday,96966.19,4040.26,8,96966.19,NULL,NULL,NULL
10262000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-18,18,7,2007,3,Wednesday,96962.34,4040.10,6,96962.34,NULL,NULL,NULL
10263000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-19,19,7,2007,3,Thursday,96943.27,4039.30,8,96943.27,NULL,NULL,NULL
10265000,"Project Phoenix","Ivana Novak",NULL,unknown,closed,2007-07-19,19,7,2007,3,Thursday,96941.58,4039.23,7,96941.58,NULL,NULL,NULL
10268000,"Project Phoenix","Petra Pavlović",NULL,unknown,closed,2007-07-19,19,7,2007,3,Thursday,96938.88,4039.12,21,96938.88,NULL,NULL,NULL
10269000,"Project Phoenix","Ivana Novak",NULL,unknown,closed,2007-07-19,19,7,2007,3,Thursday,96937.29,4039.05,9,96937.29,NULL,NULL,NULL
10270000,"Project Phoenix","Ivana Novak",NULL,unknown,closed,2007-07-22,22,7,2007,3,Sunday,96869.31,4036.22,11,96869.31,NULL,NULL,NULL
10271000,"Project Vega","Katarina Vuković",NULL,unknown,closed,2007-07-22,22,7,2007,3,Sunday,96865.01,4036.04,7,96865.01,NULL,NULL,NULL
10273000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-22,22,7,2007,3,Sunday,96861.70,4035.90,7,96861.70,NULL,NULL,NULL
10274000,"Project Apollo","Katarina Božić",NULL,unknown,closed,2007-07-23,23,7,2007,3,Monday,96842.52,4035.11,5,96842.52,NULL,NULL,NULL
10276000,"Project Phoenix","Josip Božić",NULL,unknown,closed,2007-07-24,24,7,2007,3,Tuesday,96816.76,4034.03,17,96816.76,NULL,NULL,NULL
10277000,"Project Nova","Ana Marić",NULL,unknown,closed,2007-07-24,24,7,2007,3,Tuesday,96819.10,4034.13,6,96819.10,NULL,NULL,NULL
10278000,"Project Phoenix","Ivana Novak",NULL,unknown,closed,2007-07-25,25,7,2007,3,Wednesday,96798.83,4033.28,12,96798.83,NULL,NULL,NULL
10279000,"Project Nova","Ana Marić",NULL,unknown,closed,2007-07-25,25,7,2007,3,Wednesday,96791.94,4033.00,9,96791.94,NULL,NULL,NULL
10281000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-07-26,26,7,2007,3,Thursday,96765.92,4031.91,12,96765.92,NULL,NULL,NULL
10282000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-28,28,7,2007,3,Saturday,96723.34,4030.14,6,96723.34,NULL,NULL,NULL
10283000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-28,28,7,2007,3,Saturday,96723.09,4030.13,5,96723.09,NULL,NULL,NULL
10285000,"Project Vega","Petar Knežević",NULL,unknown,closed,2007-07-29,29,7,2007,3,Sunday,96698.32,4029.10,6,96698.32,NULL,NULL,NULL
10286000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-07-29,29,7,2007,3,Sunday,96696.74,4029.03,11,96696.74,NULL,NULL,NULL
10287000,"Project Apollo","Petar Božić",NULL,unknown,closed,2007-07-30,30,7,2007,3,Monday,96674.83,4028.12,13,96674.83,NULL,NULL,NULL
10290000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-08-02,2,8,2007,3,Thursday,96606.67,4025.28,16,96606.67,NULL,NULL,NULL
10292000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-08-04,4,8,2007,3,Saturday,96552.74,4023.03,6,96552.74,NULL,NULL,NULL
10293000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-08-05,5,8,2007,3,Sunday,96531.07,4022.13,6,96531.07,NULL,NULL,NULL
10294000,"Project Vega","Petar Knežević",NULL,unknown,closed,2007-08-05,5,8,2007,3,Sunday,96534.76,4022.28,7,96534.76,NULL,NULL,NULL
10295000,"Project Vega","Katarina Vuković",NULL,unknown,closed,2007-08-05,5,8,2007,3,Sunday,96532.39,4022.18,86,96532.39,NULL,NULL,NULL
10296000,"Project Phoenix","Josip Božić",NULL,unknown,closed,2007-08-05,5,8,2007,3,Sunday,96526.74,4021.95,9,96526.74,NULL,NULL,NULL
10297000,"Project Vega","Marko Kovačić",NULL,unknown,closed,2007-08-05,5,8,2007,3,Sunday,96530.68,4022.11,13,96530.68,NULL,NULL,NULL
10298000,"Project Vega","Marko Kovačić",NULL,unknown,closed,2007-08-05,5,8,2007,3,Sunday,96529.62,4022.07,5,96529.62,NULL,NULL,NULL
10299000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-08-06,6,8,2007,3,Monday,96506.94,4021.12,8,96506.94,NULL,NULL,NULL
10300000,"Project Solaris","Josip Horvat",NULL,unknown,closed,2007-08-06,6,8,2007,3,Monday,96508.84,4021.20,7,96508.84,NULL,NULL,NULL
10302000,"Project Phoenix","Ivana Novak",NULL,unknown,closed,2007-08-07,7,8,2007,3,Tuesday,96480.76,4020.03,17,96480.76,NULL,NULL,NULL
10303000,"Project Solaris","Josip Horvat",NULL,unknown,closed,2007-08-08,8,8,2007,3,Wednesday,96460.40,4019.18,4,96460.40,NULL,NULL,NULL
10304000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-08-08,8,8,2007,3,Wednesday,96459.93,4019.16,4,96459.93,NULL,NULL,NULL
10305000,"Project Quantum","Ivan Horvat",NULL,unknown,closed,2007-08-08,8,8,2007,3,Wednesday,96454.23,4018.93,6,96454.23,NULL,NULL,NULL
10306000,"Project Solaris","Josip Horvat",NULL,unknown,closed,2007-08-09,9,8,2007,3,Thursday,96435.67,4018.15,4,96435.67,NULL,NULL,NULL
10307000,"Project Vega","Petar Knežević",NULL,unknown,closed,2007-08-12,12,8,2007,3,Sunday,96366.65,4015.28,5,96366.65,NULL,NULL,NULL
10309000,"Project Vega","Petra Novak",NULL,unknown,closed,2007-08-12,12,8,2007,3,Sunday,96361.72,4015.07,6,96361.72,NULL,NULL,NULL
10311000,"Project Nova","Ana Marić",NULL,unknown,closed,2007-08-13,13,8,2007,3,Monday,96341.19,4014.22,6,96341.19,NULL,NULL,NULL
10313000,"Project Vega","Petar Knežević",NULL,unknown,closed,2007-08-13,13,8,2007,3,Monday,96337.12,4014.05,5,96337.12,NULL,NULL,NULL
10314000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-08-14,14,8,2007,3,Tuesday,96315.50,4013.15,38,96315.50,NULL,NULL,NULL
